Price,Make,Model,Year,Mileage (km),Color,Transmission,Fuel Type,Body Type,Condition,City,Governorate,Age,mileage_band
1950000,Audi,Q3,2021,56000.0,White,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,5,20-60K
150000,Daewoo,Matiz,1999,180.0,Other,Manual,Gas,Hatchback,Used,Damietta,Damietta,27,0-20K
2700000,Mercedes,C 180,2023,55000.0,Gray,Automatic,Gas,Sedan,Used,Tagamo3 - New Cairo,Cairo,3,20-60K
2150000,Mini,Cooper,2023,6000.0,Red,Automatic,Gas,Convertible,Used,Tagamo3 - New Cairo,Cairo,3,0-20K
1300000,Jetour,X90,2024,40000.0,Black,Automatic,Gas,MPV,Used,Nasr city,Cairo,2,20-60K
425000,Chevrolet,Cruze,2010,300000.0,Dark red,Automatic,Gas,Sedan,Used,Madinaty,Cairo,16,200K+
760000,Nissan,Sunny,2024,12000.0,Red,Automatic,Diesel,Sedan,Used,Alexandria,Alexandria,2,0-20K
920000,Hyundai,Elantra AD,2019,145000.0,Silver,Automatic,Gas,Sedan,Used,Giza,Giza,7,120-200K
400000,Chevrolet,Lanos,2016,100000.0,Dark red,Manual,Natural Gas,Sedan,Used,Cairo,Cairo,10,60-120K
74000,Chery,Arrizo 5,2026,4000.0,Blue,Automatic,Natural Gas,Sedan,Used,Giza,Giza,0,0-20K
400000,Chevrolet,Lanos,2016,67000.0,Dark blue,Manual,Gas,Sedan,Used,Nasr city,Cairo,10,60-120K
600000,Jac,JS3,2022,93000.0,Black,Automatic,Gas,SUV,Used,6 October,Giza,4,60-120K
390000,Peugeot,307,2007,345000.0,Black,Automatic,Gas,Hatchback,Used,Heliopolis,Cairo,19,200K+
210000,Speranza,A113,2010,192000.0,Silver,Manual,Gas,Hatchback,Used,Tagamo3 - New Cairo,Cairo,16,120-200K
1535000,BMW,X3,2015,132000.0,Black,Automatic,Gas,SUV,Used,Cairo,Cairo,11,120-200K
3900000,Volvo,XC60,2026,145.0,Dark blue,Automatic,Gas,SUV,Used,Maadi,Cairo,0,0-20K
2200000,Exeed,VX,2025,17000.0,Gray,Automatic,Gas,SUV,Used,Tagamo3 - New Cairo,Cairo,1,0-20K
2800000,Mercedes,C 200,2022,93000.0,Black,Automatic,Gas,Sedan,Used,Sheraton,Cairo,4,60-120K
745000,Nissan,Qashqai,2018,100000.0,Black,Automatic,Gas,SUV,Used,Cairo,Cairo,8,60-120K
2800000,Volvo,XC 40,2026,100.0,Gray,Automatic,Gas,SUV,Used,Maadi,Cairo,0,0-20K
